Origin,Destination,Relative number of trips
1,1,271
2,1,40
3,1,56
4,1,42
7,1,45
8,1,3
10,1,5
11,1,12
12,1,45
13,1,1
14,1,32
15,1,3
16,1,8
17,1,7
18,1,2
19,1,93
20,1,2
21,1,15
22,1,3
23,1,293
24,1,8
25,1,12
26,1,2
27,1,5
28,1,2
29,1,1
30,1,4
31,1,2
34,1,1
35,1,3
36,1,1
41,1,2
44,1,2
46,1,1
48,1,1
49,1,12
50,1,11
51,1,6
52,1,2
53,1,1
54,1,1
55,1,1
57,1,24
58,1,1
59,1,1
60,1,1
63,1,1
64,1,23
65,1,2
66,1,1
1,2,44
2,2,46
3,2,28
4,2,10
7,2,5
10,2,1
11,2,5
12,2,16
14,2,20
15,2,2
16,2,6
18,2,1
19,2,42
20,2,1
21,2,5
23,2,61
24,2,3
25,2,3
28,2,1
30,2,2
35,2,1
36,2,5
40,2,1
48,2,2
49,2,7
50,2,1
51,2,9
52,2,1
53,2,4
57,2,7
58,2,2
62,2,2
64,2,14
66,2,1
1,3,55
2,3,29
3,3,504
4,3,50
5,3,3
6,3,5
7,3,33
8,3,6
9,3,4
10,3,8
11,3,21
12,3,103
13,3,10
14,3,110
15,3,15
16,3,33
17,3,13
18,3,16
19,3,132
20,3,5
21,3,34
22,3,7
23,3,122
24,3,11
25,3,20
26,3,2
27,3,2
28,3,6
29,3,8
30,3,15
31,3,10
32,3,9
33,3,8
34,3,3
35,3,2
36,3,7
37,3,1
38,3,4
39,3,2
41,3,1
42,3,1
44,3,2
45,3,1
46,3,2
47,3,4
48,3,7
49,3,57
50,3,9
51,3,16
52,3,17
53,3,13
54,3,8
55,3,7
56,3,9
57,3,37
58,3,8
59,3,2
60,3,11
61,3,6
62,3,4
63,3,1
64,3,31
65,3,4
66,3,2
1,4,42
2,4,10
3,4,52
4,4,319
5,4,3
6,4,1
7,4,53
9,4,2
10,4,5
11,4,10
12,4,44
13,4,5
14,4,24
15,4,5
16,4,12
17,4,4
18,4,2
19,4,69
20,4,5
21,4,14
22,4,5
23,4,139
24,4,7
25,4,20
27,4,1
28,4,3
30,4,5
31,4,5
32,4,4
33,4,5
34,4,1
35,4,1
36,4,4
37,4,1
38,4,4
39,4,2
40,4,2
42,4,1
45,4,1
46,4,2
47,4,1
48,4,18
49,4,13
50,4,10
51,4,6
52,4,1
53,4,4
54,4,1
57,4,10
58,4,1
59,4,2
60,4,1
61,4,1
62,4,1
63,4,2
64,4,25
65,4,2
66,4,1
3,5,2
4,5,3
5,5,239
6,5,27
7,5,2
8,5,15
9,5,7
10,5,137
11,5,9
12,5,25
13,5,1
14,5,4
15,5,1
16,5,4
17,5,5
18,5,1
19,5,61
20,5,3
21,5,10
22,5,3
23,5,3
24,5,2
25,5,2
27,5,3
28,5,16
29,5,3
30,5,15
32,5,3
34,5,6
35,5,2
36,5,32
37,5,3
38,5,5
39,5,2
40,5,12
48,5,1
50,5,3
51,5,2
52,5,1
57,5,3
64,5,4
66,5,1
3,6,5
4,6,1
5,6,27
6,6,130
7,6,1
8,6,7
9,6,36
10,6,67
11,6,9
12,6,23
13,6,4
14,6,6
15,6,2
16,6,4
17,6,13
19,6,53
21,6,13
22,6,1
23,6,2
24,6,1
26,6,2
27,6,3
28,6,11
29,6,1
30,6,11
31,6,1
32,6,2
34,6,6
35,6,2
36,6,24
37,6,3
38,6,3
40,6,1
42,6,1
43,6,1
45,6,1
47,6,1
48,6,3
50,6,2
51,6,1
53,6,1
56,6,1
64,6,3
1,7,47
2,7,6
3,7,32
4,7,53
5,7,2
6,7,1
7,7,82
9,7,1
10,7,2
11,7,12
12,7,33
13,7,2
14,7,19
15,7,8
16,7,5
17,7,7
18,7,8
19,7,42
20,7,4
21,7,3
22,7,3
23,7,97
24,7,2
25,7,7
26,7,5
28,7,1
29,7,2
30,7,6
31,7,4
32,7,9
33,7,2
34,7,1
35,7,3
36,7,4
37,7,2
38,7,3
42,7,2
45,7,5
46,7,2
47,7,1
49,7,20
50,7,5
51,7,3
52,7,1
53,7,3
54,7,2
55,7,3
56,7,1
57,7,8
58,7,1
59,7,2
60,7,3
62,7,1
64,7,16
65,7,4
66,7,2
1,8,3
3,8,6
5,8,15
6,8,7
8,8,87
9,8,7
10,8,106
11,8,15
12,8,48
13,8,2
14,8,7
15,8,5
16,8,7
17,8,13
18,8,2
19,8,51
21,8,17
22,8,2
23,8,2
24,8,1
26,8,8
27,8,3
28,8,43
29,8,15
30,8,13
31,8,5
32,8,15
33,8,2
34,8,11
35,8,6
36,8,31
37,8,9
38,8,9
39,8,2
40,8,5
41,8,2
42,8,2
43,8,1
44,8,1
45,8,5
46,8,2
47,8,1
48,8,1
50,8,1
51,8,2
52,8,3
53,8,5
57,8,2
58,8,2
59,8,1
64,8,5
66,8,2
3,9,4
4,9,2
5,9,6
6,9,35
7,9,1
8,9,7
9,9,456
10,9,134
11,9,11
12,9,37
13,9,1
14,9,23
15,9,5
16,9,3
17,9,11
18,9,3
19,9,122
20,9,5
21,9,24
22,9,2
23,9,9
24,9,6
25,9,1
26,9,2
27,9,2
28,9,11
29,9,4
30,9,16
32,9,3
34,9,4
35,9,8
36,9,83
37,9,4
38,9,9
40,9,2
41,9,1
42,9,3
43,9,1
45,9,1
46,9,1
47,9,1
48,9,1
50,9,3
51,9,2
55,9,1
57,9,1
58,9,1
59,9,1
62,9,1
64,9,10
1,10,5
3,10,8
4,10,5
5,10,135
6,10,66
7,10,2
8,10,107
9,10,135
10,10,584
11,10,19
12,10,37
13,10,4
14,10,21
15,10,10
16,10,16
17,10,12
18,10,9
19,10,128
20,10,17
21,10,20
22,10,7
23,10,7
24,10,1
26,10,11
27,10,7
28,10,98
29,10,84
30,10,44
31,10,12
32,10,23
33,10,14
34,10,63
35,10,18
36,10,102
37,10,43
38,10,52
39,10,7
40,10,37
41,10,12
42,10,18
43,10,4
44,10,1
45,10,5
46,10,3
47,10,2
49,10,1
50,10,5
51,10,3
52,10,3
53,10,2
54,10,2
55,10,2
57,10,6
59,10,1
60,10,1
63,10,1
64,10,8
65,10,1
66,10,4
1,11,8
2,11,4
3,11,22
4,11,10
5,11,8
6,11,9
7,11,17
8,11,15
9,11,12
10,11,19
11,11,1438
12,11,159
13,11,29
14,11,52
15,11,33
16,11,77
17,11,57
18,11,63
19,11,414
20,11,36
21,11,236
22,11,49
23,11,23
24,11,13
25,11,10
26,11,10
27,11,12
28,11,38
29,11,9
30,11,136
31,11,27
32,11,86
33,11,10
34,11,8
35,11,16
36,11,20
37,11,6
38,11,21
39,11,1
41,11,6
42,11,4
43,11,2
44,11,12
45,11,71
46,11,7
47,11,18
48,11,2
49,11,1
50,11,6
51,11,4
52,11,7
53,11,18
54,11,5
55,11,8
56,11,2
57,11,17
58,11,9
59,11,6
60,11,6
61,11,4
62,11,6
63,11,1
64,11,19
65,11,3
1,12,46
2,12,17
3,12,99
4,12,45
5,12,25
6,12,23
7,12,32
8,12,49
9,12,38
10,12,39
11,12,168
12,12,1104
13,12,105
14,12,179
15,12,102
16,12,130
17,12,93
18,12,87
19,12,265
20,12,97
21,12,156
22,12,116
23,12,32
24,12,24
25,12,18
26,12,21
27,12,28
28,12,87
29,12,53
30,12,94
31,12,99
32,12,81
33,12,47
34,12,36
35,12,32
36,12,35
37,12,18
38,12,54
39,12,28
40,12,5
41,12,5
42,12,18
43,12,5
44,12,8
45,12,48
46,12,41
47,12,41
48,12,10
49,12,17
50,12,9
51,12,19
52,12,62
53,12,50
54,12,63
55,12,95
56,12,27
57,12,69
58,12,96
59,12,124
60,12,73
61,12,68
62,12,93
63,12,25
64,12,45
65,12,8
66,12,11
1,13,1
3,13,11
4,13,3
5,13,1
6,13,4
7,13,2
8,13,2
9,13,1
10,13,4
11,13,31
12,13,100
13,13,979
14,13,30
15,13,29
16,13,37
17,13,96
18,13,10
19,13,297
20,13,39
21,13,59
22,13,9
23,13,15
24,13,3
25,13,2
26,13,2
27,13,2
28,13,4
29,13,2
30,13,25
31,13,78
32,13,6
33,13,14
34,13,6
35,13,7
36,13,20
37,13,4
38,13,1
39,13,1
40,13,1
42,13,1
43,13,1
44,13,3
45,13,10
46,13,2
47,13,6
48,13,1
49,13,1
50,13,4
51,13,10
52,13,4
54,13,1
55,13,3
57,13,9
58,13,2
59,13,3
60,13,1
62,13,1
64,13,13
65,13,1
66,13,1
1,14,35
2,14,20
3,14,113
4,14,26
5,14,4
6,14,6
7,14,18
8,14,8
9,14,23
10,14,23
11,14,46
12,14,168
13,14,28
14,14,798
15,14,22
16,14,130
17,14,51
18,14,36
19,14,246
20,14,40
21,14,77
22,14,42
23,14,40
24,14,8
25,14,8
26,14,5
27,14,7
28,14,27
29,14,15
30,14,42
31,14,27
32,14,31
33,14,4
34,14,12
35,14,9
36,14,8
37,14,7
38,14,16
39,14,3
40,14,4
41,14,3
42,14,16
43,14,2
44,14,1
45,14,12
46,14,21
47,14,7
48,14,16
49,14,7
50,14,9
51,14,2
52,14,19
53,14,17
54,14,19
55,14,13
56,14,8
57,14,14
58,14,8
59,14,9
60,14,8
61,14,7
62,14,4
63,14,6
64,14,30
65,14,2
66,14,3
1,15,3
2,15,2
3,15,14
4,15,4
5,15,1
6,15,2
7,15,8
8,15,7
9,15,5
10,15,11
11,15,29
12,15,101
13,15,29
14,15,21
15,15,736
16,15,22
17,15,26
18,15,7
19,15,312
20,15,91
21,15,58
22,15,14
23,15,14
24,15,2
25,15,7
27,15,3
28,15,8
29,15,4
30,15,14
31,15,11
32,15,11
33,15,10
35,15,6
36,15,6
38,15,3
39,15,1
40,15,3
41,15,1
42,15,2
43,15,3
45,15,8
46,15,7
47,15,11
48,15,1
49,15,3
50,15,3
51,15,5
52,15,3
53,15,1
55,15,10
56,15,2
57,15,13
58,15,3
59,15,4
60,15,1
61,15,8
62,15,1
64,15,16
65,15,1
66,15,2
1,16,9
2,16,6
3,16,33
4,16,12
5,16,4
6,16,4
7,16,5
8,16,7
9,16,3
10,16,16
11,16,71
12,16,133
13,16,35
14,16,125
15,16,22
16,16,750
17,16,48
18,16,71
19,16,228
20,16,30
21,16,231
22,16,62
23,16,22
24,16,4
25,16,9
26,16,5
27,16,9
28,16,20
29,16,7
30,16,42
31,16,36
32,16,24
33,16,21
34,16,8
35,16,7
36,16,15
37,16,2
38,16,10
39,16,1
40,16,1
41,16,2
42,16,2
44,16,5
45,16,11
46,16,218
47,16,9
48,16,3
49,16,2
50,16,2
51,16,2
52,16,20
53,16,12
54,16,7
55,16,11
56,16,7
57,16,17
58,16,16
59,16,12
60,16,6
61,16,1
62,16,6
63,16,2
64,16,20
65,16,2
66,16,2
1,17,7
3,17,12
4,17,4
5,17,5
6,17,13
7,17,6
8,17,10
9,17,11
10,17,15
11,17,56
12,17,89
13,17,89
14,17,46
15,17,23
16,17,49
17,17,1187
18,17,38
19,17,424
20,17,41
21,17,76
22,17,31
23,17,18
