comuna_index,muni_index,stratum
1,8,1.901745682
2,8,2.040127906
3,9,2.467947245
4,3,1.955026193
5,3,2.206717163
6,3,1.793694209
7,3,2.566717011
8,3,2.822874414
9,1,1.603393676
10,8,2.830494088
11,2,1.95613687
12,3,1.534141751
13,1,1.875051541
14,5,2.45340527
15,3,2.730026698
16,3,2.936831979
17,3,1.210223083
18,3,1.236888112
19,3,1.301975262
20,3,1.883366353
21,2,1.837820565
22,5,2.240299119
23,1,1
24,1,1.959509865
25,1,2.127838374
26,1,2.405804698
27,8,2.339600685
28,6,2.890666667
29,6,3.122808668
30,6,3.193893019
31,6,2.624019876
32,6,4.064839829
33,6,3.00826818
34,6,3.149887551
35,6,4.447412047
36,6,4.735755186
37,6,3.169938024
38,6,4.835768475
39,6,1
40,6,3.108141435
41,10,3.022329888
42,10,3.036310877
43,1,4.583470549
44,8,2.776652176
45,8,2.88256542
46,1,3.156029901
47,1,5.325055939
48,1,3.401682274
49,1,3.85704559
50,1,1.910823511
51,1,2.396854968
52,1,2.751369433
53,1,2.197976076
54,1,1.925511586
55,4,2.137786949
56,4,2.225205413
57,9,2.170989135
58,3,3.256396395
59,1,2.596566731
60,1,3.278286965
61,1,1.754728417
62,7,2.183293642
63,7,2.146245148
64,1,1.986824888
65,1,1.510298503
66,8,2.503224287
