comuna_index,muni_index,num_firms
1,8,494
2,8,949
3,9,1946
4,3,733
5,3,1459
6,3,378
7,3,4554
8,3,766
9,1,3196
10,8,5031
11,2,1169
12,3,789
13,1,2068
14,5,2511
15,3,2171
16,3,212
17,3,23
18,3,0
19,3,333
20,3,3
21,2,386
22,5,749
23,1,0
24,1,1013
25,1,73
26,1,1950
27,8,152
28,6,476
29,6,820
30,6,1215
31,6,821
32,6,232
33,6,485
34,6,3481
35,6,927
36,6,171
37,6,3
38,6,0
39,6,0
40,6,16
41,10,3728
42,10,177
43,1,16828
44,8,4944
45,8,1604
46,1,8958
47,1,6272
48,1,11214
49,1,6605
50,1,3791
51,1,9616
52,1,8076
53,1,3899
54,1,4621
55,4,73
56,4,2993
57,9,66
58,3,3265
59,1,5563
60,1,23778
61,1,3284
62,7,151
63,7,992
64,1,37
65,1,685
66,8,1661
