travel_time_m,mode,origin,destination
0,driving,1,1
7.15,driving,1,2
17.933333333333334,driving,1,3
46.266666666666666,driving,1,4
43.55,driving,1,5
41.666666666666664,driving,1,6
38.983333333333334,driving,1,7
39.666666666666664,driving,1,8
36.55,driving,1,9
10.35,driving,1,10
66.15,driving,1,11
37.6,driving,1,12
32.11666666666667,driving,1,13
40.45,driving,1,14
35.75,driving,1,15
34.68333333333333,driving,1,16
41.93333333333333,driving,1,17
59.166666666666664,driving,1,18
33.766666666666666,driving,1,19
69.31666666666666,driving,1,20
62.9,driving,1,21
41.75,driving,1,22
44.53333333333333,driving,1,23
46.333333333333336,driving,1,24
36.15,driving,1,25
34.85,driving,1,26
10.283333333333333,driving,1,27
10.633333333333333,driving,1,28
15.266666666666667,driving,1,29
17.1,driving,1,30
23.483333333333334,driving,1,31
19.766666666666666,driving,1,32
17.066666666666666,driving,1,33
14.416666666666666,driving,1,34
13.633333333333333,driving,1,35
21.416666666666668,driving,1,36
26.916666666666668,driving,1,37
39.4,driving,1,38
35.5,driving,1,39
36.13333333333333,driving,1,40
15.716666666666667,driving,1,41
23.3,driving,1,42
23.15,driving,1,43
7.683333333333334,driving,1,44
8.966666666666667,driving,1,45
19.2,driving,1,46
18.633333333333333,driving,1,47
24.866666666666667,driving,1,48
28.05,driving,1,49
32.86666666666667,driving,1,50
28.083333333333332,driving,1,51
27.25,driving,1,52
32.333333333333336,driving,1,53
34.36666666666667,driving,1,54
29.55,driving,1,55
29.85,driving,1,56
30.783333333333335,driving,1,57
33.13333333333333,driving,1,58
32.38333333333333,driving,1,59
30.5,driving,1,60
33.61666666666667,driving,1,61
48.28333333333333,driving,1,62
48.733333333333334,driving,1,63
44.8,driving,1,64
37.13333333333333,driving,1,65
10.216666666666667,driving,1,66
8.9,driving,2,1
0,driving,2,2
19.75,driving,2,3
44.766666666666666,driving,2,4
42.05,driving,2,5
40.166666666666664,driving,2,6
37.483333333333334,driving,2,7
38.166666666666664,driving,2,8
35.05,driving,2,9
8.05,driving,2,10
64.65,driving,2,11
36.1,driving,2,12
30.616666666666667,driving,2,13
38.95,driving,2,14
34.25,driving,2,15
33.18333333333333,driving,2,16
40.43333333333333,driving,2,17
57.666666666666664,driving,2,18
32.266666666666666,driving,2,19
67.81666666666666,driving,2,20
61.4,driving,2,21
40.25,driving,2,22
43.03333333333333,driving,2,23
44.833333333333336,driving,2,24
33.8,driving,2,25
39.7,driving,2,26
8.016666666666667,driving,2,27
9.133333333333333,driving,2,28
13.766666666666667,driving,2,29
15.6,driving,2,30
21.983333333333334,driving,2,31
18.266666666666666,driving,2,32
15.566666666666666,driving,2,33
12.916666666666666,driving,2,34
12.133333333333333,driving,2,35
19.916666666666668,driving,2,36
25.416666666666668,driving,2,37
37.9,driving,2,38
34,driving,2,39
34.63333333333333,driving,2,40
17.483333333333334,driving,2,41
25.05,driving,2,42
21.65,driving,2,43
8.45,driving,2,44
13.833333333333334,driving,2,45
16.85,driving,2,46
17.133333333333333,driving,2,47
22.516666666666666,driving,2,48
26.55,driving,2,49
31.366666666666667,driving,2,50
26.583333333333332,driving,2,51
25.75,driving,2,52
30.833333333333332,driving,2,53
32.86666666666667,driving,2,54
31.283333333333335,driving,2,55
31.583333333333332,driving,2,56
32.6,driving,2,57
31.633333333333333,driving,2,58
30.883333333333333,driving,2,59
29,driving,2,60
32.11666666666667,driving,2,61
46.78333333333333,driving,2,62
47.233333333333334,driving,2,63
43.3,driving,2,64
35.63333333333333,driving,2,65
15.066666666666666,driving,2,66
21.883333333333333,driving,3,1
24.366666666666667,driving,3,2
0,driving,3,3
50.3,driving,3,4
47.583333333333336,driving,3,5
45.7,driving,3,6
43.016666666666666,driving,3,7
43.7,driving,3,8
40.583333333333336,driving,3,9
23.483333333333334,driving,3,10
70.18333333333334,driving,3,11
41.63333333333333,driving,3,12
36.15,driving,3,13
44.483333333333334,driving,3,14
39.78333333333333,driving,3,15
38.71666666666667,driving,3,16
45.96666666666667,driving,3,17
63.2,driving,3,18
37.8,driving,3,19
73.35,driving,3,20
66.93333333333334,driving,3,21
45.78333333333333,driving,3,22
48.56666666666667,driving,3,23
50.36666666666667,driving,3,24
43.75,driving,3,25
38.06666666666667,driving,3,26
